gene,ENSEMBL,chr,gene_biotype
EEF1DP8,ENSG00000236607,11,pseudo
SCGB1D1,ENSG00000168515,11,protein-coding
SCGB2A1,ENSG00000124939,11,protein-coding
SCGB1D2,ENSG00000124935,11,protein-coding
SCGB2A2,ENSG00000110484,11,protein-coding
SCGB1D4,ENSG00000197745,11,protein-coding
ASRGL1,ENSG00000162174,11,protein-coding
SCGB1A1,ENSG00000149021,11,protein-coding
AHNAK,ENSG00000124942,11,protein-coding
EEF1G,ENSG00000254772,11,protein-coding
MIR6747,ENSG00000276102,11,ncRNA
TUT1,ENSG00000149016,11,protein-coding
MTA2,ENSG00000149480,11,protein-coding
EML3,ENSG00000149499,11,protein-coding
ROM1,ENSG00000149489,11,protein-coding
B3GAT3,ENSG00000149541,11,protein-coding
GANAB,ENSG00000089597,11,protein-coding
INTS5,ENSG00000185085,11,protein-coding
C11orf98,ENSG00000278615,11,protein-coding
LBHD1,ENSG00000162194,11,protein-coding
CSKMT,ENSG00000214756,11,protein-coding
SNORA57,ENSG00000206597,11,snoRNA
UQCC3,ENSG00000204922,11,protein-coding
UBXN1,ENSG00000162191,11,protein-coding
LRRN4CL,ENSG00000177363,11,protein-coding
HNRNPUL2-BSCL2,ENSG00000234857,11,ncRNA
BSCL2,ENSG00000168000,11,protein-coding
GNG3,ENSG00000162188,11,protein-coding
HNRNPUL2,ENSG00000214753,11,protein-coding
TTC9C,ENSG00000162222,11,protein-coding
ZBTB3,ENSG00000185670,11,protein-coding
POLR2G,ENSG00000168002,11,protein-coding
TAF6L,ENSG00000162227,11,protein-coding
TMEM223,ENSG00000168569,11,protein-coding
TMEM179B,ENSG00000185475,11,protein-coding
MIR6748,ENSG00000284535,11,ncRNA
NXF1,ENSG00000162231,11,protein-coding
MIR6514,ENSG00000274066,11,ncRNA
STX5,ENSG00000162236,11,protein-coding
RNU6-118P,ENSG00000252361,11,pseudo
STX5-DT,ENSG00000256690,11,ncRNA
TEX54,ENSG00000283268,11,protein-coding
WDR74,ENSG00000133316,11,protein-coding
SNHG1,ENSG00000255717,11,ncRNA
SNORD22,ENSG00000277194,11,snoRNA
SNORD30,ENSG00000277846,11,snoRNA
LOC124900306,ENSG00000278527,11,snoRNA
SNORD28,ENSG00000274544,11,snoRNA
SNORD27,ENSG00000275996,11,snoRNA
SNORD26,ENSG00000276788,11,snoRNA
SNORD25,ENSG00000275043,11,snoRNA
SLC3A2,ENSG00000168003,11,protein-coding
CHRM1,ENSG00000168539,11,protein-coding
LOC124902683,ENSG00000257002,11,ncRNA
RN7SL259P,ENSG00000241082,11,pseudo
SLC22A6,ENSG00000197901,11,protein-coding
SLC22A8,ENSG00000149452,11,protein-coding
PTTG1P2,ENSG00000256041,11,pseudo
TUBAP7,ENSG00000253547,11,pseudo
SLC22A24,ENSG00000197658,11,protein-coding
SLC22A10,ENSG00000184999,11,protein-coding
SLC22A25,ENSG00000196600,11,protein-coding
SLC22A9,ENSG00000149742,11,protein-coding
PLAAT5,ENSG00000168004,11,protein-coding
LOC100533643,ENSG00000275598,11,pseudo
LGALS12,ENSG00000133317,11,protein-coding
PLAAT4,ENSG00000133321,11,protein-coding
PLAAT2,ENSG00000133328,11,protein-coding
PLAAT3,ENSG00000176485,11,protein-coding
ATL3,ENSG00000184743,11,protein-coding
RTN3,ENSG00000133318,11,protein-coding
ZFTA,ENSG00000188070,11,protein-coding
RN7SL596P,ENSG00000264519,11,pseudo
SPINDOC,ENSG00000168005,11,protein-coding
MARK2,ENSG00000072518,11,protein-coding
RNU6-1306P,ENSG00000202089,11,pseudo
RCOR2,ENSG00000167771,11,protein-coding
NAA40,ENSG00000110583,11,protein-coding
RNU6-45P,ENSG00000207200,11,pseudo
COX8A,ENSG00000176340,11,protein-coding
OTUB1,ENSG00000167770,11,protein-coding
MACROD1,ENSG00000133315,11,protein-coding
FLRT1,ENSG00000126500,11,protein-coding
STIP1,ENSG00000168439,11,protein-coding
FERMT3,ENSG00000149781,11,protein-coding
TRPT1,ENSG00000149743,11,protein-coding
NUDT22,ENSG00000149761,11,protein-coding
DNAJC4,ENSG00000110011,11,protein-coding
VEGFB,ENSG00000173511,11,protein-coding
FKBP2,ENSG00000173486,11,protein-coding
PPP1R14B,ENSG00000173457,11,protein-coding
PPP1R14B-AS1,ENSG00000256940,11,ncRNA
PLCB3,ENSG00000149782,11,protein-coding
BAD,ENSG00000002330,11,protein-coding
GPR137,ENSG00000173264,11,protein-coding
KCNK4,ENSG00000182450,11,protein-coding
KCNK4-CATSPERZ,ENSG00000257069,11,ncRNA
CATSPERZ,ENSG00000219435,11,protein-coding
ESRRA,ENSG00000173153,11,protein-coding
TRMT112,ENSG00000173113,11,protein-coding
PRDX5,ENSG00000126432,11,protein-coding
LOC102723878,ENSG00000236935,11,ncRNA
CCDC88B,ENSG00000168071,11,protein-coding
MIR7155,ENSG00000278359,11,ncRNA
RPS6KA4,ENSG00000162302,11,protein-coding
MIR1237,ENSG00000221273,11,ncRNA
LINC02723,ENSG00000231680,11,ncRNA
LINC02724,ENSG00000181908,11,ncRNA
SLC22A11,ENSG00000168065,11,protein-coding
SLC22A12,ENSG00000197891,11,protein-coding
NRXN2,ENSG00000110076,11,protein-coding
RASGRP2,ENSG00000068831,11,protein-coding
PYGM,ENSG00000068976,11,protein-coding
SF1,ENSG00000168066,11,protein-coding
MAP4K2,ENSG00000168067,11,protein-coding
MEN1,ENSG00000133895,11,protein-coding
CDC42BPG,ENSG00000171219,11,protein-coding
EHD1,ENSG00000110047,11,protein-coding
RPS16P6,ENSG00000230835,11,pseudo
MIR194-2HG,ENSG00000229719,11,ncRNA
MIR192,ENSG00000283926,11,ncRNA
MIR194-2,ENSG00000284155,11,ncRNA
ATG2A,ENSG00000110046,11,protein-coding
MIR6750,ENSG00000274986,11,ncRNA
MIR6749,ENSG00000274314,11,ncRNA
PPP2R5B,ENSG00000068971,11,protein-coding
GPHA2,ENSG00000149735,11,protein-coding
MAJIN,ENSG00000168070,11,protein-coding
BATF2,ENSG00000168062,11,protein-coding
ARL2,ENSG00000213465,11,protein-coding
ARL2-SNX15,ENSG00000273003,11,ncRNA
MIR6879,ENSG00000278851,11,ncRNA
SNX15,ENSG00000110025,11,protein-coding
SAC3D1,ENSG00000168061,11,protein-coding
NAALADL1,ENSG00000168060,11,protein-coding
CDCA5,ENSG00000146670,11,protein-coding
ZFPL1,ENSG00000162300,11,protein-coding
TMEM262,ENSG00000187066,11,protein-coding
VPS51,ENSG00000149823,11,protein-coding
TM7SF2,ENSG00000149809,11,protein-coding
ZNHIT2,ENSG00000174276,11,protein-coding
FAU,ENSG00000149806,11,protein-coding
SYVN1,ENSG00000162298,11,protein-coding
MRPL49,ENSG00000149792,11,protein-coding
MIR6751,ENSG00000284489,11,ncRNA
RNU2-23P,ENSG00000222477,11,pseudo
PDCL2P2,ENSG00000255058,11,pseudo
SPDYC,ENSG00000204710,11,protein-coding
CAPN1-AS1,ENSG00000254614,11,ncRNA
CAPN1,ENSG00000014216,11,protein-coding
POLA2,ENSG00000014138,11,protein-coding
CDC42EP2,ENSG00000149798,11,protein-coding
DPF2,ENSG00000133884,11,protein-coding
TIGD3,ENSG00000173825,11,protein-coding
SLC25A45,ENSG00000162241,11,protein-coding
FRMD8,ENSG00000126391,11,protein-coding
NEAT1,ENSG00000245532,11,ncRNA
MIR612,ENSG00000283791,11,ncRNA
MASCRNA,ENSG00000274072,11,scRNA
SNRPGP19,ENSG00000270526,11,pseudo
SCYL1,ENSG00000142186,11,protein-coding
LTBP3,ENSG00000168056,11,protein-coding
ZNRD2,ENSG00000173465,11,protein-coding
FAM89B,ENSG00000176973,11,protein-coding
EHBP1L1,ENSG00000173442,11,protein-coding
KCNK7,ENSG00000173338,11,protein-coding
MAP3K11,ENSG00000173327,11,protein-coding
PCNX3,ENSG00000197136,11,protein-coding
MIR4690,ENSG00000266041,11,ncRNA
SIPA1,ENSG00000213445,11,protein-coding
MIR4489,ENSG00000265874,11,ncRNA
RELA,ENSG00000173039,11,protein-coding
RELA-DT,ENSG00000285533,11,ncRNA
RN7SL309P,ENSG00000239356,11,pseudo
KAT5,ENSG00000172977,11,protein-coding
RNASEH2C,ENSG00000172922,11,protein-coding
AP5B1,ENSG00000254470,11,protein-coding
OVOL1,ENSG00000172818,11,protein-coding
OVOL1-AS1,ENSG00000255120,11,ncRNA
CFL1,ENSG00000172757,11,protein-coding
SNX32,ENSG00000172803,11,protein-coding
MUS81,ENSG00000172732,11,protein-coding
EFEMP2,ENSG00000172638,11,protein-coding
CTSW,ENSG00000172543,11,protein-coding
FIBP,ENSG00000172500,11,protein-coding
CCDC85B,ENSG00000175602,11,protein-coding
FOSL1,ENSG00000175592,11,protein-coding
C11orf68,ENSG00000175573,11,protein-coding
DRAP1,ENSG00000175550,11,protein-coding
TSGA10IP,ENSG00000175513,11,protein-coding
SART1,ENSG00000175467,11,protein-coding
LOC100420020,ENSG00000254867,11,pseudo
EIF1AD,ENSG00000175376,11,protein-coding
BANF1,ENSG00000175334,11,protein-coding
CST6,ENSG00000175315,11,protein-coding
CATSPER1,ENSG00000175294,11,protein-coding
GAL3ST3,ENSG00000175229,11,protein-coding
SF3B2,ENSG00000087365,11,protein-coding
PACS1,ENSG00000175115,11,protein-coding
LOC124902694,ENSG00000255320,11,protein-coding
KLC2,ENSG00000174996,11,protein-coding
RAB1B,ENSG00000174903,11,protein-coding
CNIH2,ENSG00000174871,11,protein-coding
YIF1A,ENSG00000174851,11,protein-coding
TMEM151A,ENSG00000179292,11,protein-coding
CD248,ENSG00000174807,11,protein-coding
RIN1,ENSG00000174791,11,protein-coding
BRMS1,ENSG00000174744,11,protein-coding
B4GAT1,ENSG00000174684,11,protein-coding
B4GAT1-DT,ENSG00000255468,11,ncRNA
SLC29A2,ENSG00000174669,11,protein-coding
BRD9P1,ENSG00000254736,11,pseudo
RNU1-84P,ENSG00000202317,11,pseudo
NPAS4,ENSG00000174576,11,protein-coding
LOC124900311,ENSG00000201733,11,snoRNA
MRPL11,ENSG00000174547,11,protein-coding
PELI3,ENSG00000174516,11,protein-coding
DPP3,ENSG00000254986,11,protein-coding
BBS1,ENSG00000174483,11,protein-coding
ZDHHC24,ENSG00000174165,11,protein-coding
ACTN3,ENSG00000248746,11,protein-coding
CTSF,ENSG00000174080,11,protein-coding
CCDC87,ENSG00000182791,11,protein-coding
CCS,ENSG00000173992,11,protein-coding
RNU4-39P,ENSG00000199325,11,pseudo
RBM14,ENSG00000239306,11,protein-coding
RBM14-RBM4,ENSG00000248643,11,protein-coding
RBM4,ENSG00000173933,11,protein-coding
RBM4B,ENSG00000173914,11,protein-coding
SPTBN2,ENSG00000173898,11,protein-coding
RN7SL12P,ENSG00000239553,11,pseudo
TOP6BL,ENSG00000173715,11,protein-coding
RCE1,ENSG00000173653,11,protein-coding
PC,ENSG00000173599,11,protein-coding
LRFN4,ENSG00000173621,11,protein-coding
RNU7-23P,ENSG00000239099,11,pseudo
MIR3163,ENSG00000266423,11,ncRNA
C11orf86,ENSG00000173237,11,protein-coding
SYT12,ENSG00000173227,11,protein-coding
MIR6860,ENSG00000283326,11,ncRNA
RHOD,ENSG00000173156,11,protein-coding
KDM2A,ENSG00000173120,11,protein-coding
GRK2,ENSG00000173020,11,protein-coding
ANKRD13D,ENSG00000172932,11,protein-coding
SSH3,ENSG00000172830,11,protein-coding
RAD9A,ENSG00000172613,11,protein-coding
POLD4,ENSG00000175482,11,protein-coding
RN7SKP239,ENSG00000201684,11,pseudo
CLCF1,ENSG00000175505,11,protein-coding
RNU6-1238P,ENSG00000253024,11,pseudo
PPP1CA,ENSG00000172531,11,protein-coding
TBC1D10C,ENSG00000175463,11,protein-coding
CARNS1,ENSG00000172508,11,protein-coding
RPS6KB2,ENSG00000175634,11,protein-coding
PTPRCAP,ENSG00000213402,11,protein-coding
CORO1B,ENSG00000172725,11,protein-coding
GPR152,ENSG00000175514,11,protein-coding
CABP4,ENSG00000175544,11,protein-coding
TMEM134,ENSG00000172663,11,protein-coding
AIP,ENSG00000110711,11,protein-coding
MIR6752,ENSG00000276769,11,ncRNA
PITPNM1,ENSG00000110697,11,protein-coding
CDK2AP2,ENSG00000167797,11,protein-coding
CABP2,ENSG00000167791,11,protein-coding
GSTP1,ENSG00000084207,11,protein-coding
NDUFV1-DT,ENSG00000184224,11,ncRNA
NDUFV1,ENSG00000167792,11,protein-coding
NUDT8,ENSG00000167799,11,protein-coding
TBX10,ENSG00000167800,11,protein-coding
ACY3,ENSG00000132744,11,protein-coding
ALDH3B2,ENSG00000132746,11,protein-coding
OR7E145P,ENSG00000235855,11,pseudo
ALG1L8P,ENSG00000227620,11,pseudo
ENPP7P7,ENSG00000273819,11,pseudo
LINC02754,ENSG00000251637,11,ncRNA
RNU6-46P,ENSG00000206587,11,pseudo
RPS3AP40,ENSG00000243672,11,pseudo
OR7E1P,ENSG00000255554,11,pseudo
UNC93B1,ENSG00000110057,11,protein-coding
ALDH3B1,ENSG00000006534,11,protein-coding
NDUFS8,ENSG00000110717,11,protein-coding
MIR7113,ENSG00000284293,11,ncRNA
MIR4691,ENSG00000284435,11,ncRNA
TCIRG1,ENSG00000110719,11,protein-coding
MIR6753,ENSG00000275022,11,ncRNA
CHKA,ENSG00000110721,11,protein-coding
KMT5B,ENSG00000110066,11,protein-coding
C11orf24,ENSG00000171067,11,protein-coding
LRP5,ENSG00000162337,11,protein-coding
PPP6R3,ENSG00000110075,11,protein-coding
NDUFA3P2,ENSG00000254856,11,pseudo
GAL,ENSG00000069482,11,protein-coding
TESMIN,ENSG00000132749,11,protein-coding
CPT1A,ENSG00000110090,11,protein-coding
MRPL21,ENSG00000197345,11,protein-coding
IGHMBP2,ENSG00000132740,11,protein-coding
MRGPRD,ENSG00000172938,11,protein-coding
MRGPRF,ENSG00000172935,11,protein-coding
MRGPRF-AS1,ENSG00000256508,11,ncRNA
TPCN2,ENSG00000162341,11,protein-coding
MIR3164,ENSG00000265539,11,ncRNA
LOC338694,ENSG00000261070,11,ncRNA
SMIM38,ENSG00000284713,11,protein-coding
MYEOV,ENSG00000172927,11,protein-coding
IFITM9P,ENSG00000213275,11,pseudo
LINC02953,ENSG00000255980,11,ncRNA
LINC02747,ENSG00000255774,11,ncRNA
LINC01488,ENSG00000285094,11,ncRNA
CCND1,ENSG00000110092,11,protein-coding
LTO1,ENSG00000149716,11,protein-coding
FGF19,ENSG00000162344,11,protein-coding
DNAJB6P5,ENSG00000256441,11,pseudo
FGF4,ENSG00000075388,11,protein-coding
FGF3,ENSG00000186895,11,protein-coding
LINC02753,ENSG00000248844,11,ncRNA
RNU6-1175P,ENSG00000202070,11,pseudo
ANO1,ENSG00000131620,11,protein-coding
FADD,ENSG00000168040,11,protein-coding
PPFIA1,ENSG00000131626,11,protein-coding
MIR548K,ENSG00000221333,11,ncRNA
CTTN,ENSG00000085733,11,protein-coding
SHANK2,ENSG00000162105,11,protein-coding
SHANK2-AS1,ENSG00000226627,11,ncRNA
SHANK2-AS3,ENSG00000171671,11,ncRNA
MIR3664,ENSG00000263744,11,ncRNA
DHCR7,ENSG00000172893,11,protein-coding
DHCR7-DT,ENSG00000254682,11,ncRNA
NADSYN1,ENSG00000172890,11,protein-coding
MIR6754,ENSG00000278349,11,ncRNA
KRTAP5-7,ENSG00000244411,11,protein-coding
KRTAP5-8,ENSG00000241233,11,protein-coding
KRTAP5-9,ENSG00000254997,11,protein-coding
KRTAP5-10,ENSG00000204572,11,protein-coding
KRTAP5-11,ENSG00000204571,11,protein-coding
OR7E4P,ENSG00000255261,11,pseudo
VPS51P11,ENSG00000255415,11,pseudo
RPS3AP41,ENSG00000239481,11,pseudo
SNRPCP14,ENSG00000254805,11,pseudo
ENPP7P8,ENSG00000255319,11,pseudo
FAM86C1P,ENSG00000158483,11,pseudo
DEFB108B,ENSG00000184276,11,protein-coding
RNA5SP342,ENSG00000252902,11,pseudo
XNDC1N,ENSG00000254469,11,protein-coding
DEFB131B,ENSG00000225805,11,protein-coding
OR7E128P,ENSG00000228915,11,pseudo
RNF121,ENSG00000137522,11,protein-coding
IL18BP,ENSG00000137496,11,protein-coding
NUMA1,ENSG00000137497,11,protein-coding
NUMA1-AS1,ENSG00000251143,11,ncRNA
LOC124902815,ENSG00000207012,11,pseudo
MIR3165,ENSG00000263742,11,ncRNA
LRRC51,ENSG00000184154,11,protein-coding
LRTOMT,ENSG00000284922,11,protein-coding
LAMTOR1,ENSG00000149357,11,protein-coding
TOMT,ENSG00000284844,11,protein-coding
ANAPC15,ENSG00000110200,11,protein-coding
FOLR3,ENSG00000110203,11,protein-coding
RPEP6,ENSG00000257075,11,pseudo
FOLR3P1,ENSG00000255860,11,pseudo
FOLR1,ENSG00000110195,11,protein-coding
FOLR2,ENSG00000165457,11,protein-coding
INPPL1,ENSG00000165458,11,protein-coding
PHOX2A,ENSG00000165462,11,protein-coding
LOC401703,ENSG00000213365,11,pseudo
CLPB,ENSG00000162129,11,protein-coding
ART2BP,ENSG00000237408,11,pseudo
LINC01537,ENSG00000227467,11,ncRNA
PDE2A,ENSG00000186642,11,protein-coding
PDE2A-AS2,ENSG00000256633,11,ncRNA
MIR139,ENSG00000272036,11,ncRNA
RNU7-105P,ENSG00000251919,11,pseudo
ARAP1,ENSG00000186635,11,protein-coding
ARAP1-AS2,ENSG00000245148,11,ncRNA
RPS12P20,ENSG00000244134,11,pseudo
STARD10,ENSG00000214530,11,protein-coding
MIR4692,ENSG00000265064,11,ncRNA
ATG16L2,ENSG00000168010,11,protein-coding
FCHSD2,ENSG00000137478,11,protein-coding
RNU6-672P,ENSG00000206638,11,pseudo
RPL15P16,ENSG00000234751,11,pseudo
LOC124902709,ENSG00000215841,11,ncRNA
P2RY2,ENSG00000175591,11,protein-coding
P2RY6,ENSG00000171631,11,protein-coding
ARHGEF17-AS1,ENSG00000257038,11,ncRNA
ARHGEF17,ENSG00000110237,11,protein-coding
RELT,ENSG00000054967,11,protein-coding
FAM168A,ENSG00000054965,11,protein-coding
LOC100419713,ENSG00000270323,11,pseudo
PLEKHB1,ENSG00000021300,11,protein-coding
RAB6A,ENSG00000175582,11,protein-coding
MRPL48,ENSG00000175581,11,protein-coding
COA4,ENSG00000181924,11,protein-coding
PAAF1,ENSG00000175575,11,protein-coding
DNAJB13,ENSG00000187726,11,protein-coding
UCP2,ENSG00000175567,11,protein-coding
LOC100421622,ENSG00000256723,11,pseudo
UCP3,ENSG00000175564,11,protein-coding
C2CD3,ENSG00000168014,11,protein-coding
PPME1,ENSG00000214517,11,protein-coding
RNA5SP343,ENSG00000284736,11,pseudo
P4HA3,ENSG00000149380,11,protein-coding
LOC124902824,ENSG00000206913,11,snoRNA
P4HA3-AS1,ENSG00000246211,11,ncRNA
PGM2L1,ENSG00000165434,11,protein-coding
MIR548AL,ENSG00000264402,11,ncRNA
KCNE3,ENSG00000175538,11,protein-coding
LIPT2,ENSG00000175536,11,protein-coding
LIPT2-AS1,ENSG00000254837,11,ncRNA
POLD3,ENSG00000077514,11,protein-coding
RN7SKP297,ENSG00000223202,11,pseudo
CHRDL2,ENSG00000054938,11,protein-coding
MIR4696,ENSG00000265902,11,ncRNA
RPL36AP38,ENSG00000241097,11,pseudo
RNF169,ENSG00000166439,11,protein-coding
XRRA1,ENSG00000166435,11,protein-coding
RN7SL239P,ENSG00000242999,11,pseudo
RPL31P46,ENSG00000241170,11,pseudo
SPCS2,ENSG00000118363,11,protein-coding
RNU6-216P,ENSG00000200152,11,pseudo
NEU3,ENSG00000162139,11,protein-coding
OR2AT2P,ENSG00000234611,11,pseudo
NPM1P50,ENSG00000213333,11,pseudo
OR2AT4,ENSG00000171561,11,protein-coding
SLCO2B1,ENSG00000137491,11,protein-coding
OR2AT1P,ENSG00000254475,11,pseudo
ZDHHC20P3,ENSG00000255460,11,pseudo
TPBGL,ENSG00000261594,11,protein-coding
ARRB1,ENSG00000137486,11,protein-coding
MIR326,ENSG00000199090,11,ncRNA
RPS3,ENSG00000149273,11,protein-coding
SNORD15A,ENSG00000206941,11,snoRNA
SNORD15B,ENSG00000207445,11,snoRNA
KLHL35,ENSG00000149243,11,protein-coding
GDPD5,ENSG00000158555,11,protein-coding
SERPINH1,ENSG00000149257,11,protein-coding
MAP6,ENSG00000171533,11,protein-coding
MOGAT2,ENSG00000166391,11,protein-coding
RN7SL786P,ENSG00000263993,11,pseudo
DGAT2-DT,ENSG00000247867,11,ncRNA
DGAT2,ENSG00000062282,11,protein-coding
UVRAG,ENSG00000198382,11,protein-coding
PPP1R1AP1,ENSG00000255255,11,pseudo
RNA5SP344,ENSG00000223013,11,pseudo
WNT11,ENSG00000085741,11,protein-coding
LINC02761,ENSG00000255362,11,ncRNA
THAP12,ENSG00000137492,11,protein-coding
GVQW3,ENSG00000179240,11,protein-coding
EMSY-DT,ENSG00000255135,11,ncRNA
EMSY,ENSG00000158636,11,protein-coding
LINC02757,ENSG00000255363,11,ncRNA
LRRC32,ENSG00000137507,11,protein-coding
TSKU,ENSG00000182704,11,protein-coding
TSKU-AS1,ENSG00000255100,11,ncRNA
ACER3,ENSG00000078124,11,protein-coding
B3GNT6,ENSG00000198488,11,protein-coding
CAPN5,ENSG00000149260,11,protein-coding
OMP,ENSG00000254550,11,protein-coding
MYO7A,ENSG00000137474,11,protein-coding
GDPD4,ENSG00000178795,11,protein-coding
PAK1,ENSG00000149269,11,protein-coding
CLNS1A,ENSG00000074201,11,protein-coding
RNU7-59P,ENSG00000238880,11,pseudo
AQP11,ENSG00000178301,11,protein-coding
RSF1,ENSG00000048649,11,protein-coding
AAMDC,ENSG00000087884,11,protein-coding
RPL21P95,ENSG00000241782,11,pseudo
INTS4,ENSG00000149262,11,protein-coding
KCTD14,ENSG00000151364,11,protein-coding
NDUFC2-KCTD14,ENSG00000259112,11,protein-coding
LOC124902723,ENSG00000254675,11,ncRNA
THRSP,ENSG00000151365,11,protein-coding
NDUFC2,ENSG00000151366,11,protein-coding
ALG8,ENSG00000159063,11,protein-coding
RNU6-126P,ENSG00000252494,11,pseudo
KCTD21-AS1,ENSG00000246174,11,ncRNA
KCTD21,ENSG00000188997,11,protein-coding
USP35,ENSG00000118369,11,protein-coding
GAB2,ENSG00000033327,11,protein-coding
LINC02728,ENSG00000251323,11,ncRNA
NARS2,ENSG00000137513,11,protein-coding
NARS2-AS1,ENSG00000255084,11,ncRNA
RNU6-311P,ENSG00000252033,11,pseudo
COPS8P3,ENSG00000254697,11,pseudo
TENM4,ENSG00000149256,11,protein-coding
MIR708,ENSG00000211997,11,ncRNA
MIR5579,ENSG00000266570,11,ncRNA
LOC646112,ENSG00000254471,11,pseudo
RNU6-544P,ENSG00000200146,11,pseudo
LINC02720,ENSG00000255178,11,ncRNA
COX6A1P4,ENSG00000254437,11,pseudo
MTND6P25,ENSG00000255316,11,pseudo
MIR4300HG,ENSG00000245832,11,ncRNA
MIR4300,ENSG00000264110,11,ncRNA
FAM181B,ENSG00000182103,11,protein-coding
LINC02734,ENSG00000255382,11,ncRNA
PRCP,ENSG00000137509,11,protein-coding
DDIAS,ENSG00000165490,11,protein-coding
RPL7AP54,ENSG00000242279,11,pseudo
RAB30,ENSG00000137502,11,protein-coding
SNORA70E,ENSG00000207221,11,snoRNA
RAB30-DT,ENSG00000246067,11,ncRNA
LINC02951,ENSG00000255503,11,ncRNA
C1DP5,ENSG00000254965,11,pseudo
PCF11,ENSG00000165494,11,protein-coding
ANKRD42-DT,ENSG00000247137,11,ncRNA
ANKRD42,ENSG00000137494,11,protein-coding
RPL32P24,ENSG00000241020,11,pseudo
CCDC90B,ENSG00000137500,11,protein-coding
DLG2,ENSG00000150672,11,protein-coding
LOC100420800,ENSG00000254629,11,pseudo
RPL9P22,ENSG00000240174,11,pseudo
LOC124902727,ENSG00000254787,11,ncRNA
HNRNPCP6,ENSG00000213305,11,pseudo
LOC100419092,ENSG00000254684,11,pseudo
RNU6-1292P,ENSG00000206583,11,pseudo
TMEM126B,ENSG00000171204,11,protein-coding
TMEM126A,ENSG00000171202,11,protein-coding
CREBZF,ENSG00000137504,11,protein-coding
CCDC89,ENSG00000179071,11,protein-coding
SYTL2,ENSG00000137501,11,protein-coding
CCDC83,ENSG00000150676,11,protein-coding
PICALM,ENSG00000073921,11,protein-coding
RNU6-560P,ENSG00000200877,11,pseudo
EED,ENSG00000074266,11,protein-coding
MIR6755,ENSG00000283744,11,ncRNA
LOC100289518,ENSG00000254783,11,pseudo
HIKESHI,ENSG00000149196,11,protein-coding
RN7SL225P,ENSG00000239856,11,pseudo
CCDC81,ENSG00000149201,11,protein-coding
ME3,ENSG00000151376,11,protein-coding
PRSS23,ENSG00000150687,11,protein-coding
OR7E2P,ENSG00000255203,11,pseudo
FZD4,ENSG00000174804,11,protein-coding
FZD4-DT,ENSG00000246523,11,ncRNA
HNRNPCP8,ENSG00000254748,11,pseudo
TMEM135,ENSG00000166575,11,protein-coding
LOC101929104,ENSG00000213287,11,pseudo
LOC100420680,ENSG00000270510,11,pseudo
HMGB3P25,ENSG00000255391,11,pseudo
RNU6-1135P,ENSG00000223015,11,pseudo
LINC02711,ENSG00000255183,11,ncRNA
MTCYBP41,ENSG00000254650,11,pseudo
RAB38,ENSG00000123892,11,protein-coding
MIR3166,ENSG00000266581,11,ncRNA
CTSC,ENSG00000109861,11,protein-coding
GRM5,ENSG00000168959,11,protein-coding
GRM5-AS1,ENSG00000255082,11,ncRNA
RNU6-16P,ENSG00000207113,11,pseudo
TYR,ENSG00000077498,11,protein-coding
NOX4,ENSG00000086991,11,protein-coding
H3P34,ENSG00000255295,11,pseudo
UBTFL10,ENSG00000255385,11,pseudo
TRIM77,ENSG00000214414,11,protein-coding
LOC100130203,ENSG00000255540,11,pseudo
UBTFL2,ENSG00000234376,11,pseudo
TRIM64DP,ENSG00000254751,11,pseudo
TRIM49,ENSG00000168930,11,protein-coding
TRIM51BP,ENSG00000204455,11,pseudo
ANKRD33BP8,ENSG00000254558,11,pseudo
TRIM64B,ENSG00000189253,11,protein-coding
MTND1P35,ENSG00000255055,11,pseudo
TRIM49D1,ENSG00000223417,11,protein-coding
TRIM49D2,ENSG00000233802,11,protein-coding
TRIM64,ENSG00000204450,11,protein-coding
ANKRD33BP9,ENSG00000255305,11,pseudo
TRIM53AP,ENSG00000225581,11,pseudo
TRIM49C,ENSG00000204449,11,protein-coding
TRIM64EP,ENSG00000223709,11,pseudo
UBTFL1,ENSG00000255009,11,protein-coding
LOC124900309,ENSG00000207299,11,snoRNA
NAALAD2,ENSG00000077616,11,protein-coding
CHORDC1,ENSG00000110172,11,protein-coding
TUBAP2,ENSG00000214391,11,pseudo
MIR4490,ENSG00000266703,11,ncRNA
MIR1261,ENSG00000221586,11,ncRNA
OSBPL9P3,ENSG00000255070,11,pseudo
LINC02756,ENSG00000255332,11,ncRNA
TUBB4BP4,ENSG00000254961,11,pseudo
RPL7AP57,ENSG00000242248,11,pseudo
NDUFB11P1,ENSG00000235547,11,pseudo
FAT3,ENSG00000165323,11,protein-coding
RPS3AP42,ENSG00000244244,11,pseudo
LINC02746,ENSG00000282916,11,ncRNA
EEF1A1P49,ENSG00000255127,11,pseudo
SNRPGP16,ENSG00000255287,11,pseudo
MTNR1B,ENSG00000134640,11,protein-coding
RPL26P31,ENSG00000242807,11,pseudo
SLC36A4,ENSG00000180773,11,protein-coding
DEUP1,ENSG00000165325,11,protein-coding
SMCO4,ENSG00000166002,11,protein-coding
SRP14P2,ENSG00000234106,11,pseudo
RN7SL223P,ENSG00000240202,11,pseudo
CEP295,ENSG00000166004,11,protein-coding
SCARNA9,ENSG00000254911,11,ncRNA
TAF1D,ENSG00000166012,11,protein-coding
SNORA25,ENSG00000207112,11,snoRNA
SNORA32,ENSG00000206799,11,snoRNA
